id,word,grade,level,category,subcategory,core_direction,related
231,daughter,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,dad / son / brother / sister
232,lesson,A,Level 3｜300日常核心词,家庭·学校·日常生活,学校与学习,构建学习场景中的核心对象,school / class / homework / test
233,yourself,A,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,myself / himself / herself / itself
234,push,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,pick / pull / lift / fall
235,often,A,Level 3｜300日常核心词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,always / usually / sometimes / never
236,decide,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,realize / consider / plan / hope
237,hard,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,warm / cool / soft / easy
238,brother,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,son / daughter / sister / husband
239,homework,A,Level 3｜300日常核心词,家庭·学校·日常生活,学校与学习,构建学习场景中的核心对象,class / lesson / test / exam
240,himself,A,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,myself / yourself / herself / itself
241,fall,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,push / lift / rise / jump
242,sometimes,A,Level 3｜300日常核心词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,usually / often / never / again
243,plan,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,consider / decide / hope / wish
244,soft,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,cool / hard / easy / difficult
245,sister,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,daughter / brother / husband / wife
246,test,A,Level 3｜300日常核心词,家庭·学校·日常生活,学校与学习,构建学习场景中的核心对象,lesson / homework / exam / course
247,herself,A,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,yourself / himself / itself / ourselves
248,rise,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,lift / fall / jump / climb
249,again,A,Level 3｜300日常核心词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,sometimes / never / daily / weekly
250,hope,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,decide / plan / wish / expect
251,easy,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,hard / soft / difficult / strong
252,wife,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,sister / husband / family / friend
253,job,A,Level 3｜300日常核心词,家庭·学校·日常生活,工作·商业·信息,构建工作、交易和信息场景,company / business / shop / store
254,itself,A,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,himself / herself / ourselves / themselves
255,jump,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,fall / rise / climb / cross
256,soon,A,Level 3｜300日常核心词,时间与频率,频率·先后·时间关系,表达事情多久发生、何时发生和先后关系,early / late / already / still
257,wish,A,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,plan / hope / expect / suppose
258,difficult,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,soft / easy / strong / weak
259,family,A,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,husband / wife / friend / neighbor
260,money,A,Level 3｜300日常核心词,家庭·学校·日常生活,工作·商业·信息,构建工作、交易和信息场景,store / market / bank / card
261,climb,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,rise / jump / cross / pass
262,strong,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,easy / difficult / weak / fast
263,cross,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,jump / climb / pass / follow
264,weak,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,difficult / strong / fast / slow
265,pass,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,climb / cross / follow / lead
266,fast,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,strong / weak / slow / dirty
267,follow,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,cross / pass / lead / send
268,slow,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,weak / fast / dirty / good
269,lead,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,pass / follow / send / carry
270,dirty,A,Level 3｜300日常核心词,状态·性质·情绪,基本性质与尺度,描述事物的大小、冷热、难易等状态,fast / slow / good / bad
271,send,A,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,follow / lead / carry / hold
272,try,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,use / work / play / start
273,play,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,try / work / start / stop
274,start,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,work / play / stop / begin
275,stop,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,play / start / begin / finish
276,begin,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,start / stop / finish / open
277,finish,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,stop / begin / open / close
278,open,A,Level 3｜300日常核心词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,begin / finish / close / cut
279,eat,A,Level 3｜300日常核心词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,drink / cook / wash / clean
280,drink,A,Level 3｜300日常核心词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,eat / cook / wash / clean
281,ourselves,B,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,herself / itself / themselves / myself
282,lie,B,Level 3｜300日常核心词,核心动作引擎,移动与位置变化,主体或物体发生空间位置变化,sit / stand / stay / leave
283,towards,B,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,past / toward / away / between
284,weekend,B,Level 3｜300日常核心词,时间与频率,时间与日常时段,在时间线上定位日常时刻与单位,second / time / now / today
285,expect,B,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,hope / wish / suppose / seem
286,full,B,Level 3｜300日常核心词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,closed / ready / busy / free
287,adult,B,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,child / children / parent / mother
288,bedroom,B,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,house / room / bathroom / kitchen
289,tea,B,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,water / milk / coffee / juice
290,while,B,Level 3｜300日常核心词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,if / when / although / though
291,themselves,B,Level 3｜300日常核心词,人与指向,反身关系,动作或关系回到主体自身,itself / ourselves / myself / yourself
292,lift,B,Level 3｜300日常核心词,核心动作引擎,拿取·控制·传递,物体在主体之间移动或被控制,pull / push / fall / rise
293,away,B,Level 3｜300日常核心词,空间与方向,相对位置与路径,描述两个对象之间的位置或移动路线,toward / towards / between / among
294,Monday,B,Level 3｜300日常核心词,时间与频率,星期,一周时间坐标,Tuesday / Wednesday / Thursday / Friday
295,suppose,B,Level 3｜300日常核心词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,wish / expect / seem / mind
296,closed,B,Level 3｜300日常核心词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,full / ready / busy / free
297,husband,B,Level 3｜300日常核心词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,brother / sister / wife / family
298,bathroom,B,Level 3｜300日常核心词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,room / bedroom / kitchen / hall
299,coffee,B,Level 3｜300日常核心词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,milk / tea / juice / bread
300,although,B,Level 3｜300日常核心词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,when / while / though / as
301,these,B,Level 4｜500基础表达词,人与指向,指示与位置,把注意力指向近处、远处或当前位置,this / that / those / here
302,close,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,finish / open / cut / break
303,onto,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,off / upon / within / without
304,Tuesday,B,Level 4｜500基础表达词,时间与频率,星期,一周时间坐标,Monday / Wednesday / Thursday / Friday
305,seem,B,Level 4｜500基础表达词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,expect / suppose / mind / say
306,ready,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,full / closed / busy / free
307,friend,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,wife / family / neighbor / grandfather
308,kitchen,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,bedroom / bathroom / hall / door
309,juice,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,tea / coffee / bread / rice
310,though,B,Level 4｜500基础表达词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,while / although / as / than
311,those,B,Level 4｜500基础表达词,人与指向,指示与位置,把注意力指向近处、远处或当前位置,that / these / here / there
312,cut,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,open / close / break / fix
313,upon,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,off / onto / within / without
314,Wednesday,B,Level 4｜500基础表达词,时间与频率,星期,一周时间坐标,Monday / Tuesday / Thursday / Friday
315,mind,B,Level 4｜500基础表达词,感知·思考·交流,感知与思考,信息进入感官并在大脑中被处理,suppose / seem / say / see
316,busy,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,closed / ready / free / safe
317,neighbor,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,family / friend / grandfather / grandmother
318,hall,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,bathroom / kitchen / door / window
319,noodle,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,bread / rice / meat / beef
320,as,B,Level 4｜500基础表达词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,although / though / than / also
321,whom,B,Level 4｜500基础表达词,人与指向,疑问指向,把未知的人、物、地点变成提问焦点,who / whose / what / which
322,break,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,close / cut / fix / build
323,within,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,onto / upon / without / beyond
324,Thursday,B,Level 4｜500基础表达词,时间与频率,星期,一周时间坐标,Tuesday / Wednesday / Friday / Saturday
325,speak,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,tell / talk / ask / answer
326,free,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,ready / busy / safe / dangerous
327,grandfather,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,friend / neighbor / grandmother / grandpa
328,wall,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,door / window / floor / roof
329,beef,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,noodle / meat / pork / chicken
330,than,B,Level 4｜500基础表达词,英语逻辑与结构,逻辑连接,连接两个想法并说明它们之间的逻辑,though / as / also / and
331,whose,B,Level 4｜500基础表达词,人与指向,疑问指向,把未知的人、物、地点变成提问焦点,who / whom / what / which
332,fix,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,cut / break / build / grow
333,without,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,upon / within / beyond / against
334,Friday,B,Level 4｜500基础表达词,时间与频率,星期,一周时间坐标,Wednesday / Thursday / Saturday / Sunday
335,talk,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,tell / speak / ask / answer
336,safe,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,busy / free / dangerous / wrong
337,grandmother,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,neighbor / grandfather / grandpa / grandma
338,floor,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,window / wall / roof / table
339,pork,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,meat / beef / chicken / fish
340,quite,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,too / very / really / just
341,which,B,Level 4｜500基础表达词,人与指向,疑问指向,把未知的人、物、地点变成提问焦点,whose / what / where / who
342,build,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,break / fix / grow / change
343,beyond,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,within / without / against / by
344,Saturday,B,Level 4｜500基础表达词,时间与频率,星期,一周时间坐标,Thursday / Friday / Sunday / Monday
345,call,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,ask / answer / write / read
346,dangerous,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,free / safe / wrong / true
347,grandpa,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,grandfather / grandmother / grandma / uncle
348,roof,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,wall / floor / table / chair
349,chicken,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,beef / pork / fish / egg
350,really,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,very / quite / just / only
351,someone,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,somebody / something / anyone / anybody
352,grow,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,fix / build / change / become
353,against,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,without / beyond / by / next
354,Sunday,B,Level 4｜500基础表达词,时间与频率,星期,一周时间坐标,Friday / Saturday / Monday / Tuesday
355,write,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,answer / call / read / spell
356,wrong,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,safe / dangerous / true / false
357,grandma,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,grandmother / grandpa / uncle / aunt
358,sofa,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,chair / bed / desk / lamp
359,fish,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,pork / chicken / egg / fruit
360,just,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,quite / really / only / even
361,somebody,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,someone / something / anyone / anybody
362,change,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,build / grow / become / live
363,next,B,Level 4｜500基础表达词,空间与方向,边界·依附·参照,描述越界、离开、依附和参照关系,against / by / off / onto
364,January,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,February / March / April / May
365,read,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,call / write / spell / explain
366,true,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,dangerous / wrong / false / same
367,uncle,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,grandpa / grandma / aunt / cousin
368,desk,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,bed / sofa / lamp / key
369,egg,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,chicken / fish / fruit / apple
370,only,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,really / just / even / not
371,something,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,someone / somebody / anyone / anybody
372,live,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,change / become / die / use
373,left,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,right / straight / north / south
374,February,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,January / March / April / May
375,spell,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,write / read / explain / describe
376,false,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,wrong / true / same / different
377,aunt,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,grandma / uncle / cousin / grandson
378,lamp,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,sofa / desk / key / box
379,banana,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,fruit / apple / pear / grape
380,even,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,just / only / not / no
381,anyone,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,somebody / something / anybody / anything
382,die,B,Level 4｜500基础表达词,核心动作引擎,执行·开始·改变,事情从未发生到发生、从一种状态到另一种状态,become / live / use / try
383,right,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,left / straight / north / south
384,March,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,January / February / April / May
385,explain,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,read / spell / describe / discuss
386,same,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,true / false / different / important
387,cousin,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,uncle / aunt / grandson / granddaughter
388,key,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,desk / lamp / box / bag
389,pear,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,apple / banana / grape / vegetable
390,no,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,even / not / yes / maybe
391,anybody,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,something / anyone / anything / everyone
392,cook,B,Level 4｜500基础表达词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,eat / drink / wash / clean
393,straight,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,left / right / north / south
394,April,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,February / March / May / June
395,describe,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,spell / explain / discuss / agree
396,different,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,false / same / important / special
397,grandson,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,aunt / cousin / granddaughter / couple
398,box,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,lamp / key / bag / phone
399,grape,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,banana / pear / vegetable / potato
400,yes,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,not / no / maybe / perhaps
401,anything,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,anyone / anybody / everyone / everybody
402,wash,B,Level 4｜500基础表达词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,drink / cook / clean / wear
403,north,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,right / straight / south / east
404,May,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,March / April / June / July
405,discuss,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,explain / describe / agree / disagree
406,important,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,same / different / special / common
407,granddaughter,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,cousin / grandson / couple / guest
408,bag,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,key / box / phone / computer
409,vegetable,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,pear / grape / potato / tomato
410,maybe,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,no / yes / perhaps / probably
411,everyone,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,anybody / anything / everybody / everything
412,clean,B,Level 4｜500基础表达词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,cook / wash / wear / buy
413,south,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,straight / north / east / west
414,June,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,April / May / July / August
415,agree,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,describe / discuss / disagree / promise
416,special,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,different / important / common / possible
417,couple,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,grandson / granddaughter / guest / stranger
418,screen,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,phone / computer / clock / book
419,potato,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,grape / vegetable / tomato / soup
420,perhaps,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,yes / maybe / probably / almost
421,everybody,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,anything / everyone / everything / nobody
422,wear,B,Level 4｜500基础表达词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,wash / clean / buy / pay
423,east,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,north / south / west / top
424,July,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,May / June / August / September
425,disagree,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,discuss / agree / promise / suggest
426,common,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,important / special / possible / impossible
427,guest,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,granddaughter / couple / stranger / person
428,clock,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,computer / screen / book / pen
429,tomato,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,vegetable / potato / soup / sugar
430,probably,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,maybe / perhaps / almost / too
431,everything,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,everyone / everybody / nobody / nothing
432,buy,B,Level 4｜500基础表达词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,clean / wear / pay / sell
433,west,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,south / east / top / bottom
434,August,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,June / July / September / October
435,promise,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,agree / disagree / suggest / mention
436,possible,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,special / common / impossible / sure
437,stranger,B,Level 4｜500基础表达词,人·家庭·身体,人物与家庭关系,建立人与人之间的身份和亲属关系,couple / guest / person / people
438,pencil,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,book / pen / paper / picture
439,soup,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,potato / tomato / sugar / salt
440,almost,B,Level 4｜500基础表达词,英语逻辑与结构,程度·语气·否定,调节句子的强弱、确定性和正负,perhaps / probably / too / very
441,nobody,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,everybody / everything / nothing / one
442,pay,B,Level 4｜500基础表达词,核心动作引擎,生活·交易·出行,现实生活中的高频行为过程,wear / buy / sell / spend
443,top,B,Level 4｜500基础表达词,空间与方向,方向与空间部位,描述方向以及整体中的位置,east / west / bottom / middle
444,September,B,Level 4｜500基础表达词,时间与频率,月份,一年中的月份坐标,July / August / October / November
445,suggest,B,Level 4｜500基础表达词,感知·思考·交流,表达与交流,把脑中的信息传递给别人,disagree / promise / mention / repeat
446,impossible,B,Level 4｜500基础表达词,状态·性质·情绪,状态·判断·价值,描述事物当前状态及说话者判断,common / possible / sure / clear
447,doctor,B,Level 4｜500基础表达词,人·家庭·身体,社会角色,人在社会场景中的角色,nurse / driver / farmer / police
448,picture,B,Level 4｜500基础表达词,家庭·学校·日常生活,家与日常物品,构建家庭生活的核心场景,pencil / paper / photo / home
449,sugar,B,Level 4｜500基础表达词,食物·衣物·交通·城市·自然,食物与饮品,构建吃喝场景,tomato / soup / salt / cake
450,shall,B,Level 4｜500基础表达词,英语逻辑与结构,情态,表达能力、可能、必要、意愿等说话者态度,would / will / can / could
451,nothing,B,Level 4｜500基础表达词,人与指向,不定指代,不锁定具体对象，只指出某类人或物,everything / nobody / one / someone
